DISTRIBUTOR_SENDER_ID;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME;DISTRIBUTOR_ORDER_TAKING_BRANCH_ID;DISTRIBUTOR_SHIP_DATE;DISTRIBUTOR_INVOICE_DATE;DISTRIBUTOR_INVOICE_NUMBER;DISTRIBUTOR_INVOICE_LINE_ITEM;BILL_TO_CUSTOMER_DUNS_NUMBER;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER;BILL_TO_CUSTOMER_NAME;BILL_TO_CUSTOMER_BILLING_ADDRESS1;BILL_TO_CUSTOMER_BILLING_ADDRESS2;BILL_TO_CUSTOMER_CITY;BILL_TO_CUSTOMER_STATE;BILL_TO_CUSTOMER_ZIP;BILL_TO_CUSTOMER_COUNTRY;SHIP_TO_CUSTOMER_DUNS_NUMBER;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER;SHIP_TO_CUSTOMER_CUSTOMER_NAME;SHIP_TO_CUSTOMER_ADDRESS1;SHIP_TO_CUSTOMER_ADDRESS2;SHIP_TO_CUSTOMER_CITY;SHIP_TO_CUSTOMER_STATE;SHIP_TO_CUSTOMER_ZIP;SHIP_TO_CUSTOMER_COUNTRY;VENDOR_ITEM_NUMBER;VENDOR_ITEM_OPTIONS;ITEM_DESCRIPTION;PRODUCT_FAMILY;QUANTITY;QUANTITY_UNIT_OF_MEASURE;UNIT_REPLENISHMENT_COST;EXTENDED_REPLENISHMENT_COST;UNIT_COST;EXTENDED_COST_OF_GOODS_SOLD;COST_UNIT_OF_MEASURE;CURRENCY_CODE;REBATE_NUMBER;;;;;
Tea & Trade Ltd.;0;22;;2023-11-23;2e450aa9f5ee2bef0aa545bf4ee2a946;1;0;0;BILL_TO_CUSTOMER_NAME 002;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 038;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 002;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 038;GB;6;0;0;0;2;0;0;0;10.05;20.1;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-07-26;2e5e0da9a0f63399ecc04191289727ed;1;0;0;BILL_TO_CUSTOMER_NAME 056;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 055;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 056;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 055;GB;3SU1550-0AA10-0AA0;0;0;0;5;0;0;0;1.62;8.1;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-07-30;2e6a13adfe9a96ff0480bc080a048db4;1;0;0;BILL_TO_CUSTOMER_NAME 040;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 004;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 040;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 004;GB;3SU1400-1AA10-1CA0;0;0;0;2;0;0;0;2.33;4.66;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-02-01;2eba4b456ed2d86065a570a2481f9464;1;0;0;BILL_TO_CUSTOMER_NAME 052;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 052;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 052;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 052;GB;5ST3750;0;0;0;4;0;0;0;1.04;4.16;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-04-04;2ec1f7b0d479c63f0213a1efe10978cc;1;0;0;BILL_TO_CUSTOMER_NAME 027;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 020;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 027;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 020;GB;3SU1050-1HB20-0AA0;0;0;0;1;0;0;0;10.51;10.51;0;GBP;0;;;;;
Tea & Trade Ltd.;0;2;;2023-10-06;2ed63ae86e63ff6f2bb3bee3deb54fa1;1;0;0;BILL_TO_CUSTOMER_NAME 053;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 039;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 053;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 039;GB;3SU15500AA100AA0;0;0;0;3;0;0;0;1.59;4.77;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-03-01;2ef30037ecd9e0ba0feecb7cb98d4b79;1;0;0;BILL_TO_CUSTOMER_NAME 048;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 010;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 048;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 010;GB;3SU1550-0AA10-0AA0;0;0;0;15;0;0;0;1.62;24.3;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-06-20;2ef454026973554941d6275d3c99b9f1;1;0;0;BILL_TO_CUSTOMER_NAME 042;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 046;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 042;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 046;GB;3SU1550-0AA10-0AA0;0;0;0;8;0;0;0;1.62;12.96;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-03-15;2f09443b7f1ae7f74f6161a434100337;1;0;0;BILL_TO_CUSTOMER_NAME 020;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 043;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 020;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 043;GB;3SU1401-1BB60-1AA0;0;0;0;1;0;0;0;3.68;3.68;0;GBP;0;;;;;
Tea & Trade Ltd.;0;34;;2024-09-27;2f0c676ef883c2f7bc1615f167b81344;1;0;0;BILL_TO_CUSTOMER_NAME 030;0;0;0;0;BILL_TO_CUSTOMER_ZIP: ID 033;GB;0;0;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 030;0;0;0;0;SHIP_TO_CUSTOMER_ZIP: ID 033;GB;3SU12006KF101AA0;0;0;0;20;0;0;0;17.55;351;0;GBP;0;;;;;
