DISTRIBUTOR_SENDER_ID;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME;DISTRIBUTOR_ORDER_TAKING_BRANCH_ID;DISTRIBUTOR_SHIP_DATE;DISTRIBUTOR_INVOICE_DATE;DISTRIBUTOR_INVOICE_NUMBER;DISTRIBUTOR_INVOICE_LINE_ITEM;BILL_TO_CUSTOMER_DUNS_NUMBER;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER;BILL_TO_CUSTOMER_NAME;BILL_TO_CUSTOMER_BILLING_ADDRESS1;BILL_TO_CUSTOMER_BILLING_ADDRESS2;BILL_TO_CUSTOMER_CITY;BILL_TO_CUSTOMER_STATE;BILL_TO_CUSTOMER_ZIP;BILL_TO_CUSTOMER_COUNTRY;SHIP_TO_CUSTOMER_DUNS_NUMBER;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER;SHIP_TO_CUSTOMER_CUSTOMER_NAME;SHIP_TO_CUSTOMER_ADDRESS1;SHIP_TO_CUSTOMER_ADDRESS2;SHIP_TO_CUSTOMER_CITY;SHIP_TO_CUSTOMER_STATE;SHIP_TO_CUSTOMER_ZIP;SHIP_TO_CUSTOMER_COUNTRY;VENDOR_ITEM_NUMBER;VENDOR_ITEM_OPTIONS;ITEM_DESCRIPTION;PRODUCT_FAMILY;QUANTITY;QUANTITY_UNIT_OF_MEASURE;UNIT_REPLENISHMENT_COST;EXTENDED_REPLENISHMENT_COST;UNIT_COST;EXTENDED_COST_OF_GOODS_SOLD;COST_UNIT_OF_MEASURE;CURRENCY_CODE;REBATE_NUMBER
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-02;A241548;1;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 063;BILL_TO_CUSTOMER_NAME 111;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 046;0;BILL_TO_CUSTOMER_CITY: ID 005;SINALOA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 063;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 111;SHIP_TO_CUSTOMER_ADDRESS1: ID 046;0;SHIP_TO_CUSTOMER_CITY: ID 005;SINALOA;SHIP_TO_CUSTOMER_ZIP: ID 056;MX;1FK7086-4CF71-1RH0-Z K24;K24;0;0;1;0;0;0;220.78;220.78;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-03;A241606;5;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 045;BILL_TO_CUSTOMER_NAME 113;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 010;0;BILL_TO_CUSTOMER_CITY: ID 007;SONORA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 045;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 113;SHIP_TO_CUSTOMER_ADDRESS1: ID 010;0;SHIP_TO_CUSTOMER_CITY: ID 007;SONORA;SHIP_TO_CUSTOMER_ZIP: ID 069;MX;3WA31163AB010AU0-Z;T40;0;0;1;0;0;0;220.78;220.78;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-03;A241680;3;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 063;BILL_TO_CUSTOMER_NAME 111;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 046;0;BILL_TO_CUSTOMER_CITY: ID 005;SINALOA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 063;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 111;SHIP_TO_CUSTOMER_ADDRESS1: ID 046;0;SHIP_TO_CUSTOMER_CITY: ID 005;SINALOA;SHIP_TO_CUSTOMER_ZIP: ID 056;MX;3VA27105AB150AA0-Z;T30;0;0;1;0;0;0;220.78;220.78;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-07;A241830;1;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 063;BILL_TO_CUSTOMER_NAME 111;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 046;0;BILL_TO_CUSTOMER_CITY: ID 005;SINALOA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 063;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 111;SHIP_TO_CUSTOMER_ADDRESS1: ID 046;0;SHIP_TO_CUSTOMER_CITY: ID 005;SINALOA;SHIP_TO_CUSTOMER_ZIP: ID 056;MX;3WL11162CB421GA2;Z K07S01T40;0;0;1;0;0;0;220.78;220.78;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-08;8MF1060-2AL03-0-Z;1;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 044;BILL_TO_CUSTOMER_NAME 115;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 005;0;BILL_TO_CUSTOMER_CITY: ID 007;SONORA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 044;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 115;SHIP_TO_CUSTOMER_ADDRESS1: ID 005;0;SHIP_TO_CUSTOMER_CITY: ID 007;SONORA;SHIP_TO_CUSTOMER_ZIP: ID 076;MX;A241915;Y01;0;0;1;0;0;0;220.78;220.78;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-09;A241934;1;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 003;BILL_TO_CUSTOMER_NAME 070;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 065;0;BILL_TO_CUSTOMER_CITY: ID 007;SONORA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 003;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 070;SHIP_TO_CUSTOMER_ADDRESS1: ID 065;0;SHIP_TO_CUSTOMER_CITY: ID 007;SONORA;SHIP_TO_CUSTOMER_ZIP: ID 068;MX;3WA1116-2AB12-0AA4-Z;S01;0;0;1;0;0;0;246.62;246.62;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-14;A242276;1;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 063;BILL_TO_CUSTOMER_NAME 111;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 046;0;BILL_TO_CUSTOMER_CITY: ID 005;SINALOA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 063;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 111;SHIP_TO_CUSTOMER_ADDRESS1: ID 046;0;SHIP_TO_CUSTOMER_CITY: ID 005;SINALOA;SHIP_TO_CUSTOMER_ZIP: ID 056;MX;3WA1116-2AB12-0AA4-Z;S01+S55;0;0;1;0;0;0;220.78;220.78;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-15;A242350;10;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 004;BILL_TO_CUSTOMER_NAME 061;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 041;0;BILL_TO_CUSTOMER_CITY: ID 007;SONORA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 004;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 061;SHIP_TO_CUSTOMER_ADDRESS1: ID 041;0;SHIP_TO_CUSTOMER_CITY: ID 007;SONORA;SHIP_TO_CUSTOMER_ZIP: ID 069;MX;1FK22032AK002MA0Z;B12+M01+R32;0;0;4;0;0;0;246.62;986.48;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-16;A242397;1;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 063;BILL_TO_CUSTOMER_NAME 111;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 046;0;BILL_TO_CUSTOMER_CITY: ID 005;SINALOA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 063;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 111;SHIP_TO_CUSTOMER_ADDRESS1: ID 046;0;SHIP_TO_CUSTOMER_CITY: ID 005;SINALOA;SHIP_TO_CUSTOMER_ZIP: ID 056;MX;3VA2780-5AA13-0AA6-Z;T30;0;0;1;0;0;0;96.14;96.14;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-16;A242420;2;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 063;BILL_TO_CUSTOMER_NAME 111;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 046;0;BILL_TO_CUSTOMER_CITY: ID 005;SINALOA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 063;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 111;SHIP_TO_CUSTOMER_ADDRESS1: ID 046;0;SHIP_TO_CUSTOMER_CITY: ID 005;SINALOA;SHIP_TO_CUSTOMER_ZIP: ID 056;MX;3WA1116-2AB12-0AA4;ZS01;0;0;1;0;0;0;220.78;220.78;0;MXN;0
TaQuito Log’stica;DISTRIBUTOR_ORDER_TAKING_BRANCH_NAME 02;020;;2024-10-16;A242423;1;0;BILL_TO_CUSTOMER_NATIONAL_REG_NUMBER 054;BILL_TO_CUSTOMER_NAME 122;BILL_TO_CUSTOMER_BILLING_ADDRESS1: ID 018;0;BILL_TO_CUSTOMER_CITY: ID 007;SONORA;0;MX;0;SHIP_TO_CUSTOMER_NATIONAL_REG_NUMBER: ID 054;SHIP_TO_CUSTOMER_CUSTOMER_NAME: ID 122;SHIP_TO_CUSTOMER_ADDRESS1: ID 018;0;SHIP_TO_CUSTOMER_CITY: ID 007;SONORA;SHIP_TO_CUSTOMER_ZIP: ID 075;MX;3VA2780-1AB13-4HH0-Z;T30;0;0;6;0;0;0;4079.68;24478.08;0;MXN;0
